created_at,text
04/11/2020,b'Our own Bob Swan on how we are leveraging our technologies to give back to our communities during this time. https://t.co/62L0ihSmM2'
04/11/2020,"b""@Epitopic @UConn Thank you for the opportunity! We're lucky to have Bahareh and we're looking forward to checking out your interview."""
04/09/2020,"b""@GlobalSemi @LamResearch @nvidia @AMD @Cyient @mentor_graphics @AmkorTechnology @Tesla @InphiCorp @Flexintl We're s\xe2\x80\xa6 https://t.co/iUBdaRfH5u"""
04/09/2020,b'@DisabilityIN Thank you! We\xe2\x80\x99re lucky to have such a talented team that can dedicate itself to this important work.'
04/09/2020,b'@shaanhaider @Lenovo @Lenovo_ME Thanks for the write-up Shaan! We\xe2\x80\x99re honored to do our part as we fight this pandemic together.'
04/09/2020,b'@jd_christiansen @realvision @EpsilonTheory @DiMartinoBooth Well-deserved! Amazing to see people coming together as we\xe2\x80\x99re apart.'
04/09/2020,b'@sickbayMIC @HPCwire @intelnews @csiriict @Lenovo @BGI_Genomics @xprize Grateful to have such amazing partners providing critical care \xf0\x9f\x92\x99'
04/09/2020,b'@creativecommons @fabricatorz @unifiedpatents So thrilled and proud to join as a founding sponsor! Together we will fight this pandemic \xf0\x9f\x92\xaa'
04/09/2020,b'@DaveAltavilla @Forbes @nvidia @Qualcomm @mozilla @xilinx @maingear @santos_wallace We\xe2\x80\x99re proud to be a founding sp\xe2\x80\xa6 https://t.co/lchC74BY4A'
04/09/2020,"b""@ShellyKramer @SixFivePodcast @FuturumResearch @danielnewmanUV @darcylortiz We couldn't be prouder of our team as t\xe2\x80\xa6 https://t.co/EL1QjZDUWy"""
04/09/2020,b'@Johnas_Street @Microsoft This just made our day! \xf0\x9f\x92\x99\xf0\x9f\x8e\xb6'
04/09/2020,"b""@EDoggM @max358 @SFGate That's true! We're donating PPE to healthcare workers around the world. You can learn more\xe2\x80\xa6 https://t.co/ObzAOqeBce"""
04/08/2020,"b'@AmChamMalaysia @usembassykl We\xe2\x80\x99re all in this together, and we\xe2\x80\x99re proud to do our part to help the global community!'"
04/07/2020,b'@ScottKirsner An amazing and resourceful effort!'
04/07/2020,"b""@MikeFeibus @sickbayMIC @MethodistHosp @HoustonTX Thanks for the shout out, Mike, we're grateful to be able to help in any way."""
04/07/2020,b'@0mega9 @foldingathome Love to hear that you\xe2\x80\x99re pitching in! We\xe2\x80\x99re proud to partner with initiatives like Folding@Home.'
04/07/2020,b'@ssgabriel2 \xf0\x9f\x92\xaa'
04/07/2020,b'@BeatusGamingp1 \xf0\x9f\x92\x99'
04/07/2020,"b'Today, we are pledging $50 million in a Pandemic Response Technology Initiative to combat the coronavirus. We\xe2\x80\x99re al\xe2\x80\xa6 https://t.co/dhVQfeocQM'"
04/07/2020,"b""@Donovan6411 Nooo don't get cheese powder on your computer! \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1"""
04/07/2020,"b""@drGregBowman @foldingathome @LinusTech We're thrilled to partner with you and @LinusTech on this important work!"""
04/02/2020,b'@chicktechorg We\xe2\x80\x99re incredibly excited to see what these students are going to accomplish!  \xf0\x9f\x8e\x89 \xf0\x9f\x92\xbb'
04/02/2020,b'@Pacers @Dsabonis11 @JustHolla7 @FSIndiana \xf0\x9f\x98\x8d |   \xe2\x9b\xb9\xef\xb8\x8f\xe2\x80\x8d\n       \xf0\x9f\x97\x91'
04/01/2020,b'@usembassykl @WeAreIntel We\xe2\x80\x99re thankful to be able to support these initiatives \xf0\x9f\x92\x99'
04/01/2020,b'@ASUSUSA That battery life though \xf0\x9f\x94\x8b\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x98\x8d'
04/01/2020,b'@Lenovo https://t.co/ynszjl8zoA'
03/31/2020,"b'@IanCutress Looking good, Ian \xf0\x9f\x98\x8e'"
03/30/2020,b'@AmChamMalaysia @usembassykl Thanks to all the medical professionals for all they do! Stay safe out there \xf0\x9f\x92\x99'
03/28/2020,"b""@danielnewmanUV @SixFivePodcast We're incredibly proud of our talented staff and their efforts to help the world in this time."""
03/28/2020,b'@PatrickMoorhead @SixFivePodcast @danielnewmanUV @FuturumResearch @MoorInsStrat Thanks for the awesome opportunity to chat!'
03/28/2020,b'@AlexChoHP @HP @BritishGQ Thanks! Your kind words have us walking on clouds! \xf0\x9f\x92\xa8'
03/28/2020,b'@OregonDHS @WeAreIntel We\xe2\x80\x99re proud to be able to support our local communities during these challenging times.'
03/28/2020,"b""@SaiKrishanKumar @steph_hallford @HP We're happy you're happy that your customers are happy. Everyone's happy!"""
03/27/2020,"b'.@bricialopez\xe2\x80\x99s three ingredients for success: responsiveness, fast charge, and long battery life. All wrapped up i\xe2\x80\xa6 https://t.co/kEwmIuef1Y'"
03/27/2020,"b""Collaboration is key to conquering this pandemic. And the next. So we're working with @xprize &amp; @AnthemInc to launc\xe2\x80\xa6 https://t.co/Rta2rNrPvA"""
