created_at,text
04/12/2020,b'https://t.co/b3fwPSkSCF'
04/12/2020,b'Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews!'
04/12/2020,b'Cryin\xe2\x80\x99Chuck doesn\xe2\x80\x99t have a clue. Couldn\xe2\x80\x99t care less about the American Worker! https://t.co/eoXxXdn460'
04/12/2020,b'Mail in ballots substantially increases the risk of crime and VOTER FRAUD!'
04/11/2020,b'Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews! https://t.co/F83yVaxXab'
04/11/2020,"b'So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wond\xe2\x80\xa6 https://t.co/4WO2qkEN51'"
04/11/2020,"b'Governor @GavinNewsom of California has been very nice &amp;  highly supportive about the great job we have done, worki\xe2\x80\xa6 https://t.co/X1BE6wUjSC'"
04/11/2020,b'I will be watching. HAVE A GREAT EASTER! https://t.co/wCa7u6qSnl'
04/11/2020,b'The Wall Street Journal Editorial Board doesn\xe2\x80\x99t have a clue on how to fight and win. Their views on Tariffs &amp; Trade\xe2\x80\xa6 https://t.co/S8NNL1OBpd'
04/11/2020,"b'Watching @FoxNews on weekend afternoons is a total waste of time. We now have some great alternatives, like @OANN.'"
04/11/2020,b'\xe2\x80\x9cThe President and the Federal Government are doing an excellent job. When they say the death toll isn\xe2\x80\x99t going to b\xe2\x80\xa6 https://t.co/4lgwo8AQLc'
04/11/2020,b'Great editorial by @SenRonJohnson! https://t.co/hGmcwI4OSe'
04/11/2020,b'Wishing all a safe and blessed Easter Sunday. I will be tuning into Pastor @robertjeffress at\xe2\x80\xa6 https://t.co/DhNE8PHIGk'
04/11/2020,b'WE WILL BUILD IT AGAIN!'
04/11/2020,b'....Does anyone ever notice how few quotes from an actual person are given nowadays by the Lamestream Media. Very s\xe2\x80\xa6 https://t.co/2XV1LdLJLY'
04/11/2020,"b'When the Failing @nytimes or Amazon @washingtonpost writes a story saying \xe2\x80\x9cunnamed sources said\xe2\x80\x9d, or any such phras\xe2\x80\xa6 https://t.co/1HAXGWhJMZ'"
04/11/2020,"b'....economy was shuttered. This is unprecedented, it is unsettling and challenging but, we will rise to meet the oc\xe2\x80\xa6 https://t.co/0nYuRdYfTy'"
04/11/2020,"b'\xe2\x80\x9cI think the situation is unprecedented, and there is no question about that. It\xe2\x80\x99s whiplash! The economy was moving\xe2\x80\xa6 https://t.co/OeCrXErZkO'"
04/11/2020,"b'\xe2\x80\x9cTrump did a deal with Japan. A lot of our product goes to Japan, and we are booming in North Dakota.\xe2\x80\x9d Jim on C Spa\xe2\x80\xa6 https://t.co/U0th7LKMyz'"
04/10/2020,b'https://t.co/HGD0GHUOjt'
04/10/2020,"b'Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins v\xe2\x80\xa6 https://t.co/NRcJmZAXLG'"
04/10/2020,b'The Invisible Enemy will soon be in full retreat!'
04/10/2020,"b'Because the T.V. Ratings for the White House News Conference\xe2\x80\x99s are the highest, the Opposition Party (Lamestream Me\xe2\x80\xa6 https://t.co/aDU9l8UQnu'"
